"Identifier","Akt","mTOR","Akt_0.7_0.6","mTOR_0.7_0.6","Akt_0.7_0.7","mTOR_0.7_0.7","Akt_0.7_0.8","mTOR_0.7_0.8","Akt_0.7_0.9","mTOR_0.7_0.9","Akt_0.7_1","mTOR_0.7_1","Akt_0.8_0.6","mTOR_0.8_0.6","Akt_0.8_0.7","mTOR_0.8_0.7","Akt_0.8_0.8","mTOR_0.8_0.8","Akt_0.8_0.9","mTOR_0.8_0.9","Akt_0.8_1","mTOR_0.8_1","Akt_0.9_0.6","mTOR_0.9_0.6","Akt_0.9_0.7","mTOR_0.9_0.7","Akt_0.9_0.8","mTOR_0.9_0.8","Akt_0.9_0.9","mTOR_0.9_0.9","Akt_0.9_1","mTOR_0.9_1","Akt_0.95_0.6","mTOR_0.95_0.6","Akt_0.95_0.7","mTOR_0.95_0.7","Akt_0.95_0.8","mTOR_0.95_0.8","Akt_0.95_0.9","mTOR_0.95_0.9","Akt_0.95_1","mTOR_0.95_1"
"LASS4;350;",NA,NA,0.004,0.17,0.001,0.079,0.002,0.224,0,0.159,0.013,0.116,0.007,0.134,0.004,0.279,0,0.172,0.045,0.095,0.001,0.076,0.009,0.117,0.009,0.038,0.003,0.308,0.001,0.348,0,0.087,0.026,0.132,0.032,0.176,0.017,0.135,0.007,0.125,0.014,0.14
"LASS5;350;",NA,NA,0.001,0.304,0,0.092,0,0.054,0,0.083,0.003,0.019,0,0.144,0,0.069,0,0.231,0.019,0.179,0,0.025,0.012,0.077,0.001,0.204,0.015,0.276,0.003,0.04,0.001,0.107,0.023,0.109,0.022,0.092,0.008,0.065,0.023,0.049,0.012,0.053
"LASS5;354;",NA,NA,0,0.139,0.012,0.106,0,0.175,0,0.04,0.006,0.167,0.006,0.069,0.006,0.104,0,0.045,0.022,0.076,0,0.005,0.008,0.066,0.006,0.041,0.011,0.008,0.002,0.155,0,0.016,0.009,0.118,0.02,0.158,0.016,0.116,0.007,0.044,0.017,0.101
"LASS5;355;",NA,NA,0.005,0.122,0.004,0.063,0.001,0.121,0,0.055,0.015,0.049,0.003,0.076,0.005,0.052,0,0.189,0.01,0.115,0,0.022,0.002,0.081,0.004,0.246,0,0.192,0.002,0.058,0.001,0.066,0.031,0.119,0.021,0.108,0.011,0.136,0.023,0.285,0.014,0.101
"LASS5;356;",NA,NA,0.004,0.216,0.002,0.071,0.001,0.315,0,0.146,0.016,0.412,0.013,0.079,0.01,0.156,0.001,0.085,0.036,0.113,0,0.05,0.008,0.175,0.008,0.053,0.006,0.359,0.002,0.377,0.002,0.074,0.053,0.177,0.018,0.239,0.018,0.182,0.036,0.156,0.015,0.26
"LAST;347;",NA,NA,0.021,0.091,0.002,0.085,0,0.098,0,0.092,0.01,0.091,0.01,0.035,0.003,0.021,0,0.023,0.007,0.025,0,0.001,0.011,0.242,0.004,0.082,0.003,0.348,0.008,0.048,0.002,0.052,0.008,0.15,0.013,0.172,0.004,0.189,0,0.07,0.005,0.025
"LAST;360;",NA,NA,0.111,0.582,0.022,0.654,0.009,0.428,0.082,0.368,0.019,0.523,0.028,0.376,0.059,0.634,0.045,0.675,0.104,0.676,0.009,0.476,0.029,0.523,0.195,0.399,0.003,0.686,0.025,0.478,0.009,0.44,0.036,0.436,0.012,0.693,0.029,0.69,0.007,0.911,0.05,0.482
"LAT4;297;",NA,NA,0,0.155,0.006,0.054,0,0.118,0,0.032,0.001,0.163,0.013,0.124,0.009,0.063,0,0.23,0.028,0.155,0.004,0.047,0.007,0.085,0.005,0.267,0.007,0.099,0.001,0.081,0.008,0.068,0.012,0.191,0.004,0.224,0.001,0.103,0.002,0.046,0.005,0.121
"LATS1;246;",NA,NA,0.012,0.234,0.044,0.155,0.008,0.22,0.246,0.111,0.016,0.305,0.065,0.055,0.02,0.036,0.04,0.047,0.007,0.041,0.011,0.025,0.01,0.124,0.015,0.032,0.036,0.292,0.197,0.051,0.021,0.032,0.15,0.159,0.018,0.133,0.07,0.152,0.026,0.109,0.036,0.137
"LATS1;255;",NA,NA,0.034,0.222,0.044,0.173,0.015,0.22,0.057,0.246,0.019,0.246,0.026,0.098,0.016,0.042,0.004,0.094,0.009,0.056,0.028,0.098,0.014,0.164,0.022,0.076,0.017,0.096,0.075,0.054,0.013,0.06,0.033,0.159,0.042,0.16,0.007,0.191,0.024,0.117,0.025,0.187
"LATS1;463;",NA,NA,0.374,0.367,0.492,0.54,0.812,0.183,0.088,0.219,0.429,0.503,0.38,0.244,0.284,0.257,0.529,0.333,0.138,0.281,0.565,0.419,0.548,0.478,0.368,0.254,0.681,0.214,0.363,0.101,0.789,0.168,0.118,0.238,0.278,0.155,0.572,0.159,0.763,0.58,0.38,0.151
"LATS1;612;",NA,NA,0.039,0.296,0.089,0.317,0.014,0.385,0.292,0.193,0.018,0.532,0.099,0.105,0.031,0.111,0.045,0.198,0.034,0.183,0.036,0.148,0.024,0.165,0.021,0.072,0.031,0.339,0.216,0.131,0.032,0.171,0.192,0.123,0.038,0.215,0.06,0.157,0.02,0.177,0.035,0.203
"LBR;101;",NA,NA,0,0.081,0,0.081,0,0.085,0,0.03,0.001,0.022,0.003,0.14,0.006,0.056,0,0.106,0.01,0.071,0.003,0.022,0.009,0.067,0.004,0.077,0.004,0.071,0,0.074,0,0.094,0.061,0.158,0.039,0.11,0.043,0.146,0.081,0.264,0.018,0.074
"LBR;103;",NA,NA,0.446,0.091,0.418,0.069,0.805,0.051,0.008,0.036,0.272,0.036,0.313,0.089,0.11,0.082,0.577,0.109,0.302,0.039,0.538,0.018,0.555,0.081,0.328,0.077,0.519,0.064,0.464,0.032,0.728,0.156,0.229,0.133,0.61,0.233,0.488,0.192,0.857,0.181,0.361,0.147
"LBR;67;",NA,NA,0.003,0.065,0.009,0.125,0.01,0.078,0,0.021,0,0.152,0.004,0.117,0.016,0.045,0.001,0.077,0.017,0.059,0.002,0.01,0.002,0.111,0.017,0.127,0.013,0.14,0,0.038,0.001,0.169,0.082,0.103,0.128,0.124,0.11,0.114,0.177,0.365,0.047,0.275
"LBR;69;",NA,NA,0.01,0.167,0.07,0.356,0.01,0.347,0.283,0.135,0.01,0.403,0.075,0.024,0.035,0.025,0.041,0.032,0.013,0.051,0.015,0.009,0.018,0.028,0.021,0.01,0.033,0.075,0.243,0.01,0.031,0.004,0.174,0.047,0.003,0.078,0.058,0.034,0.02,0.032,0.021,0.051
"LBR;71;",NA,NA,0.015,0.541,0.053,0.687,0.013,0.684,0.301,0.915,0.017,0.468,0.08,0.655,0.019,0.613,0.04,0.339,0.02,0.427,0.017,0.288,0.017,0.323,0.015,0.63,0.036,0.464,0.239,0.758,0.024,0.637,0.152,0.528,0.008,0.607,0.062,0.81,0.023,0.278,0.024,0.627
"LCMT1;247;",NA,NA,0.437,0.205,0.441,0.082,0.805,0.08,0.01,0.267,0.302,0.044,0.341,0.198,0.165,0.116,0.573,0.199,0.324,0.079,0.525,0.328,0.534,0.199,0.357,0.13,0.579,0.108,0.461,0.049,0.726,0.138,0.188,0.149,0.514,0.09,0.515,0.085,0.764,0.171,0.337,0.133
"LDB1;302;",NA,NA,0.563,0.159,0.479,0.137,0.82,0.195,0.03,0.322,0.29,0.066,0.357,0.269,0.181,0.215,0.581,0.367,0.325,0.12,0.527,0.362,0.591,0.145,0.36,0.466,0.585,0.216,0.472,0.129,0.63,0.456,0.277,0.546,0.714,0.207,0.652,0.155,0.942,0.243,0.404,0.269
"LDB1;61;",NA,NA,0.007,0.295,0.004,0.11,0,0.094,0,0.091,0.006,0.107,0.014,0.131,0.003,0.045,0,0.096,0.013,0.091,0,0.022,0.011,0.101,0.008,0.063,0.006,0.295,0.004,0.043,0.002,0.123,0.004,0.101,0.015,0.135,0.004,0.151,0.003,0.064,0.002,0.097
"LDH2;11;",NA,NA,0,0.145,0.007,0.124,0,0.256,0,0.117,0.001,0.247,0.014,0.037,0.01,0.024,0,0.049,0.03,0.071,0.004,0.028,0.011,0.062,0.005,0.045,0.01,0.05,0.001,0.045,0.008,0.005,0.014,0.143,0.006,0.235,0.001,0.089,0.002,0.032,0.002,0.026
"LDLRAP1;14;",NA,NA,0.211,0.629,0.231,0.673,0.164,0.525,0.542,0.479,0.025,0.528,0.26,0.373,0.417,0.669,0.268,0.527,0.284,0.785,0.17,0.79,0.196,0.513,0.505,0.31,0.142,0.589,0.309,0.373,0.052,0.502,0.334,0.341,0.069,0.624,0.098,0.3,0.036,0.876,0.182,0.392
"LDLRAP1;198;",NA,NA,0.026,0.223,0.017,0.052,0.716,0.076,0.003,0.229,0.1,0.045,0.129,0.274,0.14,0.23,0.156,0.264,0.054,0.171,0.161,0.244,0.071,0.236,0.044,0.426,0.562,0.089,0.174,0.083,0.067,0.16,0.039,0.432,0.028,0.134,0.208,0.153,0.092,0.185,0.34,0.161
"LDLRAP1;199;",NA,NA,0.05,0.24,0.04,0.078,0.004,0.132,0.001,0.088,0.011,0.072,0.027,0.132,0.009,0.073,0.004,0.173,0.012,0.082,0,0.114,0.022,0.2,0.008,0.248,0.014,0.246,0.013,0.057,0.003,0.268,0.073,0.331,0.136,0.219,0.075,0.253,0.176,0.259,0.036,0.365
"LEDGF;105;",NA,NA,0,0.134,0.004,0.007,0,0.045,0,0.021,0.003,0.129,0.005,0.041,0.005,0.103,0,0.026,0.01,0.07,0.001,0.008,0.009,0.086,0.003,0.039,0.01,0.021,0,0.159,0.002,0.029,0.005,0.134,0.006,0.176,0.004,0.128,0.001,0.05,0.002,0.076
"LEDGF;106;",NA,NA,0.009,0.145,0.011,0.108,0.001,0.283,0,0.038,0.013,0.209,0.005,0.039,0.016,0.086,0,0.084,0.016,0.076,0.003,0.022,0.031,0.104,0.011,0.034,0.027,0.162,0.015,0.123,0.003,0.043,0.018,0.126,0.039,0.209,0.014,0.201,0.007,0.138,0.018,0.188
"LEDGF;118;",NA,NA,0.005,0.165,0.011,0.123,0.001,0.189,0,0.167,0.001,0.121,0.011,0.117,0.007,0.052,0,0.248,0.006,0.115,0,0.067,0.007,0.095,0,0.257,0.004,0.081,0,0.024,0,0.113,0.017,0.118,0.003,0.222,0.013,0.142,0.001,0.095,0.009,0.153
"LEDGF;122;",NA,NA,0.001,0.216,0.004,0.043,0,0.112,0,0.031,0.005,0.168,0.003,0.058,0.004,0.039,0,0.03,0.013,0.109,0,0.007,0.001,0.188,0.003,0.058,0.004,0.257,0.004,0.04,0.001,0.055,0.02,0.073,0.021,0.052,0.014,0.114,0.004,0.06,0.019,0.089
"LEDGF;129;",NA,NA,0,0.211,0,0.081,0,0.228,0,0.333,0.001,0.044,0,0.109,0.003,0.083,0,0.045,0.001,0.049,0.002,0.092,0.006,0.198,0.006,0.031,0.009,0.028,0,0.014,0,0.057,0.001,0.059,0.002,0.187,0,0.086,0,0.033,0,0.026
"LEDGF;134;",NA,NA,0,0.163,0,0.081,0,0.037,0,0.153,0,0.03,0.001,0.132,0.004,0.028,0,0.079,0.014,0.07,0,0.028,0.009,0.076,0.008,0.078,0.005,0.064,0,0.024,0,0.067,0.001,0.118,0.007,0.181,0.001,0.141,0.003,0.083,0,0.082
"LEDGF;270;",NA,NA,0.007,0.168,0.009,0.197,0.001,0.237,0,0.12,0.012,0.166,0.006,0.032,0.011,0.029,0,0.029,0.01,0.046,0.001,0.009,0.009,0.046,0.007,0.025,0.012,0.014,0,0.02,0,0.011,0.015,0.06,0.008,0.055,0.002,0.107,0,0.036,0.005,0.059
"LEDGF;271;",NA,NA,0.008,0.198,0.01,0.097,0.002,0.168,0,0.091,0.015,0.252,0.008,0.092,0.007,0.095,0,0.157,0.04,0.067,0.001,0.052,0.003,0.068,0.011,0.046,0.003,0.065,0,0.026,0.002,0.04,0.005,0.061,0.009,0.097,0.001,0.097,0.005,0.191,0.008,0.128
"LEDGF;272;",NA,NA,0.007,0.266,0.01,0.163,0.001,0.341,0,0.161,0.017,0.351,0.009,0.044,0.005,0.067,0,0.09,0.019,0.101,0,0.019,0.026,0.066,0.008,0.038,0.02,0.273,0.015,0.071,0.005,0.063,0.002,0.109,0.016,0.209,0.001,0.2,0.002,0.107,0.002,0.165
"LEDGF;274;",NA,NA,0.001,0.378,0.003,0.604,0.001,0.513,0.001,0.706,0.006,0.795,0.007,0.431,0.004,0.469,0,0.217,0.019,0.236,0,0.248,0.001,0.25,0.001,0.444,0.005,0.352,0.002,0.84,0,0.333,0.078,0.334,0.068,0.485,0.051,0.566,0.108,0.182,0.016,0.306
"LEM2;145;",NA,NA,0.547,0.159,0.429,0.113,0.805,0.086,0.085,0.062,0.373,0.025,0.397,0.125,0.15,0.067,0.578,0.194,0.383,0.097,0.556,0.102,0.575,0.049,0.356,0.105,0.578,0.093,0.471,0.068,0.726,0.11,0.166,0.211,0.57,0.09,0.522,0.157,0.794,0.173,0.399,0.085
"LEM2;149;",NA,NA,0.003,0.063,0.003,0.054,0,0.108,0,0.026,0.005,0.112,0.005,0.047,0.009,0.027,0,0.021,0.012,0.039,0,0.007,0.004,0.038,0.001,0.043,0.005,0.028,0.002,0.011,0,0.057,0.097,0.1,0.069,0.101,0.046,0.08,0.089,0.021,0.016,0.051
"LEM2;150;",NA,NA,0.005,0.209,0.002,0.013,0.001,0.079,0.001,0.043,0.011,0.051,0.004,0.032,0.011,0.014,0.001,0.015,0.016,0.032,0,0.012,0.007,0.041,0.014,0.031,0.008,0.04,0.002,0.01,0,0.014,0.01,0.06,0.016,0.112,0.008,0.09,0.002,0.071,0.009,0.044
"LEM2;505;",NA,NA,0.006,0.178,0.006,0.185,0.001,0.09,0,0.043,0.009,0.143,0.009,0.111,0.008,0.054,0.001,0.207,0.007,0.126,0.002,0.015,0.007,0.084,0.009,0.229,0.018,0.042,0.003,0.038,0,0.096,0.02,0.051,0.014,0.17,0.016,0.098,0.005,0.074,0.01,0.126
"LEM2;507;",NA,NA,0.002,0.394,0.001,0.096,0,0.189,0,0.166,0.004,0.386,0.005,0.105,0.004,0.128,0,0.105,0.023,0.194,0.001,0.035,0.034,0.119,0.026,0.031,0.022,0.288,0.014,0.357,0.003,0.146,0.015,0.158,0.032,0.184,0.002,0.123,0.001,0.072,0.003,0.188
"LEM2;509;",NA,NA,0,0.288,0.008,0.181,0,0.192,0,0.096,0.001,0.503,0,0.161,0.002,0.063,0,0.146,0.006,0.178,0,0.03,0.041,0.053,0.031,0.124,0.024,0.238,0.016,0.051,0.005,0.082,0.017,0.191,0.033,0.126,0.009,0.202,0.003,0.084,0.024,0.11
"LEMD3;263;",NA,NA,0,0.142,0.008,0.441,0,0.347,0,0.656,0.003,0.284,0.001,0.14,0.01,0.389,0,0.103,0.034,0.106,0.001,0.081,0.019,0.142,0.032,0.407,0.017,0.243,0.015,0.631,0.003,0.097,0.013,0.263,0.012,0.387,0.009,0.531,0.011,0.333,0.016,0.257
"LENG8;352;",NA,NA,0.072,0.47,0.001,0.629,0,0.527,0,0.423,0,0.324,0.019,0.329,0.009,0.389,0.005,0.473,0.027,0.362,0.004,0.585,0.004,0.277,0.013,0.223,0.012,0.482,0.001,0.381,0.004,0.373,0.005,0.2,0.006,0.59,0.012,0.276,0.017,0.526,0.003,0.204
"LETMD1;192;",NA,NA,0.586,0.219,0.541,0.172,0.819,0.251,0.108,0.251,0.377,0.282,0.434,0.123,0.229,0.128,0.581,0.258,0.354,0.126,0.515,0.157,0.583,0.11,0.38,0.122,0.634,0.111,0.49,0.351,0.807,0.128,0.337,0.238,0.71,0.1,0.663,0.183,0.946,0.213,0.459,0.201
"LIG1;634;",NA,NA,0.007,0.46,0.039,0.599,0.007,0.59,0.112,0.883,0.003,0.794,0.066,0.559,0.022,0.477,0.041,0.306,0.004,0.122,0.013,0.243,0.006,0.372,0.015,0.545,0.034,0.45,0.19,0.83,0.018,0.543,0.265,0.343,0.114,0.583,0.145,0.607,0.185,0.398,0.05,0.534
"LIG3;244;",NA,NA,0.006,0.563,0.003,0.669,0.001,0.75,0,0.856,0.01,0.638,0.007,0.614,0.007,0.549,0,0.338,0.04,0.411,0.001,0.368,0.014,0.318,0.01,0.508,0.009,0.442,0.002,0.818,0.002,0.54,0.003,0.427,0.017,0.231,0.002,0.649,0.005,0.144,0.001,0.396
"LIMD1;413;",NA,NA,0.013,0.471,0.006,0.573,0,0.498,0,0.839,0.008,0.354,0.013,0.4,0.003,0.626,0,0.45,0.011,0.492,0,0.46,0.01,0.196,0,0.636,0.002,0.441,0.005,0.66,0.002,0.569,0.007,0.599,0.006,0.48,0.005,0.435,0.003,0.201,0.003,0.381
"LIMK;298;",NA,NA,0.03,0.092,0.045,0.067,0.016,0.113,0.001,0.065,0.012,0.202,0.018,0.079,0.014,0.046,0.005,0.137,0.006,0.048,0.003,0.093,0.007,0.093,0.004,0.165,0.005,0.148,0.009,0.046,0.001,0.215,0.083,0.158,0.116,0.083,0.091,0.159,0.154,0.369,0.035,0.178
"LIMK;310;",NA,NA,0.014,0.292,0.004,0.556,0,0.349,0,0.873,0.002,0.51,0.008,0.588,0.001,0.56,0,0.348,0.008,0.225,0,0.174,0.013,0.297,0.004,0.64,0.006,0.362,0.003,0.562,0.002,0.603,0.074,0.483,0.109,0.544,0.074,0.749,0.153,0.233,0.019,0.547
"LIN37;135;",NA,NA,0.016,0.138,0.004,0.026,0.001,0.024,0,0.018,0.004,0.113,0.016,0.056,0.006,0.09,0,0.051,0.009,0.066,0,0.013,0.02,0.084,0.001,0.044,0.007,0.055,0.004,0.335,0.003,0.066,0.086,0.292,0.154,0.22,0.129,0.146,0.178,0.074,0.05,0.115
"LIP1;388;",NA,NA,0.521,0.207,0.446,0.025,0.823,0.041,0.098,0.033,0.455,0.013,0.353,0.07,0.161,0.07,0.577,0.108,0.37,0.047,0.553,0.018,0.576,0.081,0.366,0.078,0.536,0.094,0.458,0.029,0.726,0.093,0.258,0.104,0.688,0.11,0.615,0.129,0.942,0.29,0.406,0.07
"LIP1;390;",NA,NA,0.023,0.198,0.04,0.16,0.016,0.275,0.019,0.363,0.007,0.349,0.088,0.161,0.018,0.139,0.008,0.11,0.037,0.079,0.037,0.115,0.037,0.314,0.019,0.116,0.013,0.068,0.014,0.447,0.015,0.07,0.038,0.135,0.062,0.192,0.025,0.258,0.011,0.106,0.047,0.228
"LIP1;393;",NA,NA,0.001,0.125,0.006,0.093,0,0.046,0,0.024,0.001,0.21,0.002,0.078,0.003,0.044,0,0.054,0.007,0.044,0.001,0.005,0.008,0.035,0.008,0.02,0.013,0.188,0,0.019,0,0.037,0.049,0.051,0.01,0.125,0.016,0.128,0.04,0.046,0.013,0.041
"LIP1;395;",NA,NA,0.007,0.266,0.04,0.139,0.005,0.161,0.112,0.085,0.007,0.313,0.062,0.546,0.015,0.38,0.003,0.477,0.007,0.446,0.014,0.488,0.026,0.562,0.011,0.639,0.036,0.659,0.189,0.672,0.017,0.577,0.143,0.645,0.029,0.386,0.044,0.486,0.031,0.164,0.006,0.394
"LIP1;405;",NA,NA,0.49,0.834,0.309,0.988,0.059,0.821,0.849,0.967,0.115,0.909,0.527,0.933,0.427,0.928,0.285,0.922,0.521,0.933,0.287,0.975,0.316,0.943,0.383,0.961,0.157,0.983,0.486,0.923,0.147,0.986,0.495,0.944,0.281,0.939,0.166,0.945,0.053,0.994,0.457,0.841
"LIP1;443;",NA,NA,0.125,0.627,0.08,0.529,0.126,0.322,0.234,0.64,0.007,0.364,0.118,0.429,0.217,0.444,0.222,0.529,0.164,0.565,0.124,0.6,0.143,0.627,0.474,0.329,0.087,0.725,0.08,0.415,0.025,0.364,0.178,0.328,0.028,0.329,0.028,0.254,0.012,0.843,0.172,0.407
"LIP1;444;",NA,NA,0.486,0.934,0.29,0.991,0.061,0.903,0.862,0.97,0.113,0.909,0.537,0.964,0.37,0.968,0.285,0.976,0.492,0.943,0.269,0.981,0.321,0.968,0.373,0.977,0.153,0.989,0.478,0.93,0.132,0.993,0.494,0.94,0.29,0.892,0.157,0.971,0.051,0.989,0.456,0.969
"LIP1;447;",NA,NA,0.107,0.17,0.038,0.515,0.009,0.104,0.107,0.301,0.011,0.225,0.06,0.626,0.182,0.647,0.055,0.582,0.134,0.454,0.051,0.436,0.04,0.487,0.191,0.573,0.016,0.522,0.058,0.507,0.002,0.56,0.039,0.646,0.023,0.356,0.031,0.257,0.038,0.761,0.057,0.52
"LIP1;477;",NA,NA,0,0.088,0.004,0.06,0,0.059,0,0.012,0.001,0.109,0.003,0.062,0,0.019,0,0.062,0.002,0.018,0,0.008,0.003,0.099,0.007,0.036,0.003,0.083,0,0.046,0,0.038,0.011,0.123,0.005,0.104,0.009,0.107,0.003,0.038,0.001,0.086
"LIP1;508;",NA,NA,0,0.12,0.003,0.028,0,0.075,0,0.032,0.005,0.134,0.003,0.083,0.002,0.111,0,0.121,0.007,0.104,0,0.034,0.021,0.282,0.025,0.096,0.021,0.093,0.018,0.061,0.003,0.111,0.021,0.21,0.022,0.081,0.006,0.225,0.004,0.119,0.002,0.139
"LIP1;763;",NA,NA,0.105,0.682,0.051,0.809,0.01,0.72,0.279,0.953,0.006,0.926,0.1,0.978,0.033,0.956,0.046,0.906,0.059,0.766,0.013,0.915,0.029,0.898,0.019,0.885,0.021,0.855,0.223,0.884,0.023,0.969,0.201,0.951,0.022,0.835,0.055,0.969,0.022,0.812,0.032,0.875
"LIPE;555;",NA,NA,0.006,0.149,0.008,0.158,0.011,0.117,0,0.127,0.008,0.144,0.006,0.08,0.004,0.035,0,0.086,0.01,0.066,0,0.024,0.007,0.168,0.01,0.117,0.01,0.123,0.003,0.064,0.001,0.032,0.082,0.233,0.072,0.164,0.052,0.176,0.094,0.05,0.018,0.095
"LIPE;585;",NA,NA,0.14,0.693,0.061,0.585,0.024,0.515,0.1,0.588,0.021,0.552,0.044,0.354,0.064,0.686,0.053,0.706,0.048,0.521,0.029,0.485,0.043,0.46,0.063,0.362,0.018,0.607,0.032,0.374,0.011,0.426,0.027,0.273,0.031,0.539,0.023,0.356,0.003,0.853,0.032,0.369
"LIPE;600;",NA,NA,0.001,0.119,0.003,0.053,0,0.057,0.002,0.025,0.008,0.033,0.014,0.1,0.008,0.11,0,0.062,0.02,0.055,0,0.011,0.01,0.123,0.002,0.075,0.004,0.057,0.003,0.318,0,0.118,0.088,0.185,0.073,0.11,0.054,0.134,0.089,0.051,0.014,0.158
"LIPE;602;",NA,NA,0.393,0.082,0.365,0.032,0.792,0.024,0.003,0.023,0.258,0.015,0.33,0.085,0.107,0.088,0.569,0.031,0.143,0.03,0.533,0.011,0.53,0.102,0.323,0.067,0.521,0.06,0.447,0.176,0.728,0.039,0.139,0.124,0.488,0.129,0.464,0.084,0.762,0.042,0.35,0.048
"LIPE;615;",NA,NA,0,0.146,0.007,0.247,0,0.166,0.007,0.041,0,0.406,0.004,0.027,0.002,0.02,0,0.029,0.003,0.043,0,0.008,0.009,0.072,0.004,0.071,0.006,0.129,0.026,0.058,0.008,0.025,0.019,0.199,0.002,0.255,0,0.136,0.002,0.03,0,0.048
"LIPE;617;",NA,NA,0.04,0.191,0.112,0.42,0.015,0.415,0.678,0.184,0.044,0.371,0.09,0.087,0.068,0.064,0.087,0.134,0.026,0.108,0.072,0.052,0.072,0.085,0.014,0.201,0.109,0.298,0.317,0.036,0.114,0.221,0.443,0.192,0.035,0.298,0.148,0.154,0.021,0.543,0.119,0.324
"LIPE;632;",NA,NA,0,0.305,0,0.097,0,0.045,0,0.135,0,0.027,0,0.141,0.002,0.063,0,0.216,0,0.177,0,0.041,0.004,0.105,0.001,0.256,0.002,0.453,0,0.068,0.001,0.125,0.002,0.133,0.009,0.216,0.004,0.163,0,0.085,0,0.098
"LIPE;693;",NA,NA,0,0.112,0,0.118,0,0.031,0,0.035,0.002,0.029,0.008,0.13,0.001,0.059,0,0.103,0.004,0.05,0,0.023,0.003,0.144,0.002,0.187,0.002,0.207,0.004,0.072,0.001,0.177,0.027,0.311,0.012,0.225,0.017,0.226,0.018,0.06,0.003,0.107
"LIPE;694;",NA,NA,0.434,0.23,0.343,0.054,0.794,0.057,0.004,0.215,0.341,0.026,0.342,0.193,0.123,0.08,0.572,0.122,0.24,0.061,0.512,0.042,0.55,0.28,0.323,0.177,0.526,0.204,0.455,0.078,0.703,0.218,0.148,0.328,0.503,0.202,0.447,0.208,0.764,0.118,0.328,0.126
"LIPE;77;",NA,NA,0.401,0.08,0.346,0.044,0.791,0.028,0.004,0.019,0.291,0.025,0.346,0.106,0.126,0.03,0.57,0.058,0.153,0.038,0.523,0.01,0.53,0.035,0.339,0.065,0.519,0.021,0.445,0.025,0.726,0.11,0.157,0.133,0.422,0.061,0.477,0.038,0.758,0.017,0.365,0.054
"LKB1;31;",NA,NA,0.006,0.182,0.002,0.129,0.002,0.07,0.001,0.239,0,0.095,0.008,0.092,0.009,0.03,0,0.057,0.031,0.096,0.004,0.098,0.008,0.084,0.003,0.107,0.009,0.073,0.008,0.049,0,0.03,0.01,0.179,0.01,0.263,0.002,0.064,0.003,0.095,0,0.066
"LKB1;32;",NA,NA,0.001,0.184,0.001,0.136,0.001,0.063,0,0.143,0.006,0.041,0.002,0.069,0.004,0.064,0,0.031,0,0.107,0.001,0.024,0.007,0.324,0.003,0.075,0.002,0.111,0.01,0.082,0.001,0.07,0.017,0.2,0.016,0.091,0.008,0.094,0.002,0.099,0.001,0.05
"LL5B;156;",NA,NA,0.015,0.254,0,0.376,0.002,0.114,0.001,0.379,0.007,0.124,0.02,0.54,0.007,0.388,0.004,0.409,0.03,0.288,0.001,0.641,0.004,0.171,0.004,0.796,0.002,0.451,0.007,0.303,0,0.705,0.012,0.773,0.008,0.492,0.013,0.478,0.02,0.4,0.011,0.476
"LL5B;359;",NA,NA,0.127,0.905,0.079,0.991,0.015,0.882,0.239,0.944,0.029,0.884,0.133,0.959,0.107,0.96,0.048,0.925,0.135,0.861,0.024,0.895,0.049,0.858,0.217,0.955,0.043,0.877,0.237,0.984,0.027,0.954,0.188,0.906,0.022,0.813,0.079,0.909,0.046,0.963,0.04,0.921
"LL5B;411;",NA,NA,0.664,0.287,0.657,0.562,0.841,0.241,0.435,0.275,0.647,0.319,0.504,0.127,0.351,0.176,0.641,0.285,0.401,0.171,0.583,0.399,0.579,0.332,0.409,0.144,0.722,0.263,0.73,0.042,0.823,0.133,0.499,0.222,0.714,0.171,0.827,0.084,0.972,0.533,0.467,0.229
"LL5B;414;",NA,NA,0.479,0.495,0.348,0.793,0.199,0.577,0.979,0.436,0.14,0.749,0.557,0.294,0.534,0.236,0.427,0.487,0.503,0.491,0.353,0.587,0.435,0.434,0.583,0.35,0.214,0.33,0.524,0.089,0.178,0.287,0.64,0.197,0.295,0.28,0.177,0.176,0.047,0.807,0.57,0.319
"LL5B;465;",NA,NA,0.592,0.17,0.45,0.315,0.823,0.076,0.041,0.323,0.366,0.048,0.405,0.168,0.195,0.161,0.597,0.156,0.4,0.172,0.563,0.39,0.563,0.382,0.375,0.173,0.582,0.233,0.475,0.045,0.737,0.136,0.171,0.171,0.522,0.111,0.539,0.148,0.762,0.514,0.363,0.2
"LL5B;510;",NA,NA,0.008,0.22,0.025,0.147,0.001,0.087,0.113,0.036,0.001,0.251,0.077,0.104,0.027,0.055,0.004,0.048,0.027,0.082,0.019,0.046,0.016,0.082,0.015,0.06,0.037,0.085,0.209,0.043,0.033,0.095,0.181,0.222,0.003,0.213,0.058,0.072,0.018,0.076,0.01,0.092
"LL5B;534;",NA,NA,0.114,0.201,0.04,0.361,0.009,0.186,0.104,0.144,0.012,0.119,0.033,0.297,0.25,0.309,0.057,0.323,0.139,0.294,0.051,0.384,0.052,0.479,0.192,0.145,0.02,0.282,0.061,0.114,0.01,0.182,0.015,0.27,0.009,0.106,0.034,0.076,0.012,0.777,0.035,0.259
